"geoid","ntacode","ntaname","lat","lon"
"360810403002","QN26","North Corona",40.7503373851643,-73.8602523028103
"360470570002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5979700417945,-73.9346041536241
"360470400002","BK29","Bensonhurst East",40.5977408508104,-73.9767591381803
"360850074002","SI14","Grasmere-Arrochar-Ft. Wadsworth",40.5936752468974,-74.0635697632016
"360470628002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5914744279317,-73.9301825403732
"360470572002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5962141373506,-73.9396281301688
"360850064003","SI14","Grasmere-Arrochar-Ft. Wadsworth",40.595808412769,-74.0808324112257
"360811010013","QN15","Far Rockaway-Bayswater",40.5949555469386,-73.7486289192842
"360470402002","BK29","Bensonhurst East",40.5958950544503,-73.9836467545107
"360470594016","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5954402656315,-73.949810602389
"360810998022","QN15","Far Rockaway-Bayswater",40.5938120322103,-73.7560461499548
"360850096012","SI36","Old Town-Dongan Hills-South Beach",40.5943464504851,-74.0907874877108
"360470591003","BK76","Greenpoint",40.7219411613939,-73.9434161648185
"360810404001","QN08","St. Albans",40.7069274974576,-73.7688053875696
"360810645001","QN17","Forest Hills",40.7091837749754,-73.8482205015282
"360810654003","QN05","Rosedale",40.6624302218978,-73.7422812662335
"360810556002","QN34","Queens Village",40.7246718444159,-73.7434885683298
"360810942022","QN12","Hammels-Arverne-Edgemere",40.5889778020047,-73.814051320901
"360470302002","BK29","Bensonhurst East",40.5954931458857,-73.9903058198943
"360470628001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5912555853326,-73.9274899966235
"360470398002","BK26","Gravesend",40.5952894948786,-73.9787309223313
"360470594023","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5945445,-73.943703
"360470390002","BK25","Homecrest",40.5934840338303,-73.9659193312743
"360470302003","BK29","Bensonhurst East",40.5941644702221,-73.9881047689208
"360470594012","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5941330097448,-73.9474459731092
"360470588001","BK25","Homecrest",40.5899368359957,-73.9589454750839
"360850277062","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",40.5903216387384,-74.1624003404426
"360470427002","BK77","Bushwick North",40.7035071301789,-73.9264628355887
"360850096023","SI36","Old Town-Dongan Hills-South Beach",40.5924077604266,-74.0972715564002
"360470586002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5935722171919,-73.9544813257817
"360810972041","QN12","Hammels-Arverne-Edgemere",40.5937304231096,-73.7852743340846
"360470596001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5929577636731,-73.9385085847517
"360810972021","QN12","Hammels-Arverne-Edgemere",40.5912033629552,-73.7800837956176
"360470590001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5898867989848,-73.954652082524
"360470596002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5908326676348,-73.938108617578
"360850096022","SI36","Old Town-Dongan Hills-South Beach",40.5886999877671,-74.0959157102327
"360470592003","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5894032974532,-73.9511017124537
"360850277042","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",40.5871343468149,-74.1495806198994
"360470374021","BK26","Gravesend",40.5880804442612,-73.9728640422311
"360850114012","SI36","Old Town-Dongan Hills-South Beach",40.5857620052418,-74.1005297413373
"360850279001","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",40.5747349189931,-74.1514575553132
"360470600003","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5869911983064,-73.9460861913962
"360470600004","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5861778474182,-73.9492635864479
"360470179003","BK68","Fort Greene",40.6854310880659,-73.9706131110707
"360810942034","QN12","Hammels-Arverne-Edgemere",40.587313116229,-73.8055260715273
"360850114011","SI36","Old Town-Dongan Hills-South Beach",40.5857262112334,-74.0962390905702
"360470598002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5870407904541,-73.9356638443863
